REP,block,ENTRY,T1,T2,T3,T4
3,1,120,159.1299,36.1557,40.8124,17.8689
4,1,120,149.7155,46.6594,43.4159,17.6176
1,1,121,167.4446,48.6798,32.8256,21.0333
2,1,121,157.7141,54.6191,37.0899,21.5941
3,1,121,146.6297,41.9576,37.6107,20.7023
4,1,121,157.845,40.7877,35.8087,20.9077
1,1,122,174.985,40.5254,33.7144,26.591
2,1,122,181.4907,46.2767,34.8814,23.3716
3,1,122,188.6878,40.7433,39.7251,22.3643
4,1,122,164.7942,55.6874,34.4619,23.7066
1,1,123,155.5585,53.857,39.966,21.244
2,1,123,156.8478,44.7145,38.0768,18.8482
3,1,123,158.5466,45.7778,42.7141,21.8322
4,1,123,171.8882,48.3106,42.1508,17.2188
1,1,124,172.263,39.8545,36.1723,18.7285
2,1,124,154.5702,40.6292,31.6854,21.911
3,1,124,151.2237,51.611,33.3708,24.5416
4,1,124,168.0345,52.4638,34.6081,21.0596
1,1,125,162.476,42.0148,43.7749,20.8335
2,1,125,155.2687,39.2672,42.2161,19.5922
3,1,125,168.681,49.9542,37.6547,20.4234
4,1,125,140.9118,34.0274,42.3263,17.5094
1,1,126,152.4382,46.6317,33.2999,23.8065
2,1,126,146.484,51.999,40.0469,25.0611
3,1,126,164.5667,51.9638,41.1349,25.0757
4,1,126,146.1209,48.4152,43.8586,25.4471
1,1,127,164.4988,38.6193,36.9611,21.0988
2,1,127,158.3023,41.9916,38.303,22.7474
3,1,127,155.8287,39.1583,34.8183,19.8577
4,1,127,172.7757,48.3641,35.518,21.9693
1,1,128,163.0239,44.1451,30.2314,21.9432
2,1,128,182.0388,48.0775,33.8557,22.9642
3,1,128,152.025,44.6672,35.3314,21.7263
4,1,128,140.315,50.2656,29.3843,21.3728
1,1,129,163.8948,50.8493,40.9055,23.5574
2,1,129,173.3984,45.1007,35.9172,22.2205
3,1,129,151.1589,52.5451,33.0321,21.8809
4,1,129,151.9081,46.0865,42.4311,25.6289
1,1,130,139.3533,43.0713,18.1363,24.4342
2,1,130,155.3215,45.3431,26.5889,25.3485
3,1,130,160.0564,36.7714,32.5505,24.4201
4,1,130,153.04,44.9735,27.0297,23.1013
1,1,131,175.3026,41.1195,28.0835,21.8679
2,1,131,144.6673,46.3041,32.8579,22.7592
3,1,131,156.5891,53.426,33.1438,19.9742
4,1,131,163.071,45.5969,29.6883,20.6888
1,1,132,160.8642,44.1218,33.376,23.1223
2,1,132,157.9197,46.252,34.1508,21.8909
3,1,132,172.3606,41.0824,38.6576,19.431
4,1,132,159.0476,44.5649,31.1665,21.0386
1,1,133,147.0572,37.5221,42.4617,24.9347
2,1,133,160.2248,44.2677,39.3255,25.6929
3,1,133,154.3159,51.5429,44.7145,22.3539
4,1,133,174.9753,36.8064,35.1741,23.6314
1,1,134,155.8635,46.8968,31.2432,23.7063
2,1,134,155.295,51.2019,35.125,22.5021
3,1,134,169.0186,42.7696,34.8673,21.0839
4,1,134,166.0765,43.9688,23.6305,24.4713
1,1,135,160.4766,51.3277,38.9503,20.8773
2,1,135,163.5504,47.6355,35.1682,23.1317
3,1,135,169.3692,53.5319,33.6277,21.8686
4,1,135,162.5753,51.0175,39.3955,21.1924
1,1,136,161.6572,41.3156,33.1475,24.1503
