ENTRY,GY,PH,SD
(CML543/CML566)//CKDHL1715900,7.17589939,238.7160031,73.2241533
(CML543/CML566)//CKDHL1715901,8.065094689,240.8195757,72.78972185
(CML543/CML566)//CKDHL1715902,6.693788765,243.931552,76.92603264
(CML543/CML566)//CKDHL1715907,6.934824417,238.261236,76.2707782
(CML543/CML566)//CKDHL1715909,7.546294996,236.2471744,73.72282613
(CML543/CML566)//CKDHL1715910,7.233277473,235.0873666,74.29107572
(CML543/CML566)//CKDHL1715912,6.49068066,238.4923363,76.59159694
(CML543/CML566)//CKDHL1715915,7.837777067,243.2508708,76.58366446
(CML543/CML566)//CKDHL1715918,8.022944605,242.586218,74.10977177
(CML543/CML566)//CKDHL1715919,6.98969767,241.8081997,72.54206285
(CML543/CML566)//CKDHL1715921,7.128828299,232.11052,72.84277597
(CML543/CML566)//CKDHL1715922,7.445312415,225.9418953,74.40470562
(CML543/CML566)//CKDHL1715927,7.859163825,237.1516638,74.04189322
(CML543/CML566)//CKDHL1715928,7.620751437,241.1618825,74.19142028
(CML543/CML566)//CKDHL1715931,6.8818959,236.9294888,73.64183429
(CML543/CML566)//CKDHL1715932,7.673464834,251.1357357,74.89823885
(CML543/CML566)//CKDHL1715934,7.237355194,232.9569933,74.72991077
(CML543/CML566)//CKDHL1715940,8.028966346,250.9922496,76.03148495
(CML543/CML566)//CKDHL1717302,6.450638673,227.0750944,78.0471245
(CML543/CML566)//CKDHL1717350,7.571856211,239.1098697,75.16712437
(CML543/CML566)//CKDHL1717354,7.781349926,236.6148592,75.99305567
(CML543/CML566)//CKDHL1717363,7.063613721,241.0210966,75.61268522
(CML543/CML566)//CKDHL1717366,7.043949435,229.2039186,73.41065849
(CML543/CML566)//CKDHL1717390,6.202488927,233.9859902,77.29458205
(CML543/CML566)//CKDHL1717394,6.951740625,238.7239237,74.00662004
(CML543/CML566)//CKDHL1717398,7.141807596,237.409451,75.50280019
(CML543/CML566)//CKDHL1717403,6.539661275,232.340242,76.87197945
(CML543/CML566)//CKDHL1717404,7.134538168,239.9688338,75.19594032
(CML543/CML566)//CKDHL1717421,6.936633922,227.0028584,74.51036479
(CML543/CML566)//CKDHL1717463,6.353389947,232.3027841,71.90104062
(CML543/CML566)//CKDHL1717479,7.347807038,244.8876304,75.51063741
(CML543/CML566)//CKDHL1717481,6.875199307,236.0906536,76.9670493
(CML543/CML566)//CKDHL1717483,6.974177665,237.6116896,75.56362117
(CML543/CML566)//CKDHL1717507,7.196175815,242.2064538,73.76777509
(CML543/CML566)//CKDHL1717508,7.224098383,236.0619849,74.97654534
(CML543/CML566)//CKDHL1717519,6.51593388,226.238682,73.72951391
(CML543/CML566)//CKDHL1717527,7.867506094,241.1695389,75.17188463
(CML543/CML566)//CKDHL1717529,7.186446854,245.9136684,76.95049685
(CML543/CML566)//CKDHL1717535,5.967457128,232.355809,78.17092704
(CML543/CML566)//CKDHL1718483,6.997153922,232.7621669,73.0748492
(CML543/CML566)//CKDHL1718565,6.90673879,231.721119,75.50483159
(CML543/CML566)//CKDHL1718642,6.86797593,225.9685321,72.68872602
(CML543/CML566)//CKDHL1718746,6.149449341,233.8671203,75.55661192
(CML543/CML566)//CKDHL1719134,6.249307307,234.2178226,78.04490075
